       fig   fim   fiw  fsg  fsm  fsg   op          loss
1589   0.0   0.0   0.0  0.1  0.1  0.1  ADD  1.339322e-07
3547   1.0  -1.0   0.0  0.5  0.5  0.5  ADD  3.420643e-05
3848  -1.0   0.0   0.0  0.5  0.5  0.5  ADD  9.538388e-05
2170   1.0  -1.0   1.0  0.5  0.5  0.5  ADD  1.579680e-04
4281   0.0  -1.0   1.0  0.5  0.5  0.5  ADD  1.581801e-04
3273   0.0  -1.0  -1.0  0.5  0.5  0.5  ADD  2.747836e-04
3109  -1.0   0.0   0.0  0.1  0.1  0.1  ADD  2.795011e-04
3294   1.0  -1.0   1.0  0.5  0.5  0.5  ADD  2.797040e-04
609   -1.0   0.0   1.0  0.1  0.1  0.1  ADD  3.516033e-04
2709   1.0   0.0   1.0  0.1  0.1  0.1  ADD  3.519205e-04
903   -1.0  -1.0   0.0  0.5  0.5  0.5  ADD  5.832698e-04
1332   0.0  -1.0  -1.0  0.5  0.5  0.5  ADD  9.188603e-04
3429  -1.0   0.0   1.0  0.5  0.5  0.5  ADD  9.209784e-04
3698  -1.0   0.0   1.0  0.5  0.5  0.5  ADD  1.074206e-03
2637  -1.0   0.0   1.0  0.5  0.5  0.5  ADD  1.314819e-03
2097  -1.0   0.0   1.0  0.5  0.5  0.5  ADD  1.332971e-03
2739   1.0  -1.0  -1.0  0.5  0.5  0.5  ADD  1.579458e-03
1973  -1.0   0.0   0.0  0.5  0.5  0.5  ADD  1.778810e-03
3018   1.0   0.0   0.0  0.5  0.5  0.5  ADD  1.983758e-03
2089  -1.0  -1.0  -1.0  0.5  0.5  0.5  ADD  2.020263e-03
1524   0.0   0.0   1.0  0.5  0.5  0.5  ADD  2.084318e-03
520    1.0   0.0  -1.0  0.5  0.5  0.5  ADD  2.279519e-03
3752   1.0   0.0   1.0  0.5  0.5  0.5  ADD  2.458564e-03
913   -1.0   0.0   1.0  0.5  0.5  0.5  ADD  2.644447e-03
3108   1.0  -1.0  -1.0  0.5  0.5  0.5  ADD  2.773155e-03
2300  -1.0   0.0   0.0  0.5  0.5  0.5  ADD  3.274475e-03
2811   1.0   0.0  -1.0  0.1  0.1  0.1  ADD  3.584815e-03
1806   0.0   1.0  -1.0  0.1  0.1  0.1  ADD  3.712951e-03
1725  -1.0   0.0   1.0  0.5  0.5  0.5  ADD  4.038596e-03
202   -1.0   0.0   1.0  0.5  0.5  0.5  ADD  4.316123e-03
3183  -1.0   0.0   0.0  0.5  0.5  0.5  ADD  4.451696e-03
3604   0.0   1.0  -1.0  0.5  0.5  0.5  ADD  5.051478e-03
3072  -1.0   0.0   1.0  0.5  0.5  0.5  ADD  5.109567e-03
1408   1.0  -1.0   0.0  0.5  0.5  0.5  ADD  5.239908e-03
1415   1.0   0.0  -1.0  0.5  0.5  0.5  ADD  6.110116e-03
1914  -1.0  -1.0   0.0  0.5  0.5  0.5  ADD  6.177726e-03
4160   0.0   0.0   0.0  0.5  0.5  0.5  ADD  6.282196e-03
3415  -1.0   0.0   1.0  0.5  0.5  0.5  ADD  6.421961e-03
590    0.0   0.0   1.0  0.5  0.5  0.5  ADD  6.549652e-03
1382   0.0  -1.0   0.0  0.5  0.5  0.5  ADD  6.688599e-03
1899   0.0   0.0   1.0  0.5  0.5  0.5  ADD  6.758557e-03
3264   0.0   0.0   0.0  0.5  0.5  0.5  ADD  6.846790e-03
3689  -1.0   0.0  -1.0  0.5  0.5  0.5  ADD  7.120983e-03
3339   0.0   0.0   1.0  0.5  0.5  0.5  ADD  7.209720e-03
1078   1.0   0.0  -1.0  0.1  0.1  0.1  ADD  7.280245e-03
3348   0.0   0.0   0.0  0.5  0.5  0.5  ADD  7.997910e-03
1772   1.0   0.0   1.0  0.5  0.5  0.5  ADD  8.046207e-03
3674   0.0  -1.0   0.0  0.5  0.5  0.5  ADD  8.460507e-03
1844   0.0  -1.0  -1.0  0.5  0.5  0.5  ADD  9.173351e-03
568    0.0   0.0   1.0  0.5  0.5  0.5  ADD  9.602556e-03
715    1.0  -1.0   0.0  0.5  0.5  0.5  ADD  9.764632e-03
2954  -1.0   0.0   0.0  0.5  0.5  0.5  ADD  1.017784e-02
865    0.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.036983e-02
4295  -1.0   0.0  -1.0  0.5  0.5  0.5  ADD  1.124230e-02
2040   0.0   0.0   1.0  0.5  0.5  0.5  ADD  1.127589e-02
1659   0.0   0.0   0.0  0.5  0.5  0.5  ADD  1.151922e-02
816   -1.0   0.0   1.0  0.5  0.5  0.5  ADD  1.152602e-02
352    0.0   0.0   1.0  0.5  0.5  0.5  ADD  1.240755e-02
3387   1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.253850e-02
3721   1.0   0.0  -1.0  0.5  0.5  0.5  ADD  1.276200e-02
1181   1.0  -1.0  -1.0  0.5  0.5  0.5  ADD  1.375434e-02
595    1.0   0.0   1.0  0.5  0.5  0.5  ADD  1.386546e-02
2216   1.0   0.0   1.0  0.5  0.5  0.5  ADD  1.472539e-02
